yasha@yasha-VirtualBox:~/embedUr-Training/Linux-Training$ ps -ef
UID          PID    PPID  C STIME TTY          TIME CMD
root          22  0.0  0.0      0     0 ?        S    16:25   0:00 [idle_inject/
root          23  0.0  0.0      0     0 ?        S    16:25   0:00 [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S    16:25   0:00 [kdevtmpfs]
root          25  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-in
root          26  0.0  0.0      0     0 ?        S    16:25   0:00 [kauditd]
root          27  0.0  0.0      0     0 ?        S    16:25   0:00 [khungtaskd]
root          29  0.0  0.0      0     0 ?        S    16:25   0:00 [oom_reaper]
root          31  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-wr
root          32  0.0  0.0      0     0 ?        S    16:25   0:02 [kcompactd0]
root          33  0.0  0.0      0     0 ?        SN   16:25   0:00 [ksmd]
root          34  0.0  0.0      0     0 ?        SN   16:25   0:00 [khugepaged]
root          35  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-ki
root          36  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-kb
root          37  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-bl
root          38  0.0  0.0      0     0 ?        S    16:25   0:00 [irq/9-acpi]
root          39  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-tp
root          40  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-at
root          41  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-md
root          42  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-md
root          43  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-ed
root          44  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-de
root          45  0.0  0.0      0     0 ?        S    16:25   0:00 [watchdogd]
root          47  0.0  0.0      0     0 ?        S    16:25   0:00 [kswapd0]
root          48  0.0  0.0      0     0 ?        S    16:25   0:00 [ecryptfs-kth
root          49  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-kt
root          50  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-ac
root          51  0.0  0.0      0     0 ?        S    16:25   0:00 [scsi_eh_0]
root          52  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-sc
root          53  0.0  0.0      0     0 ?        S    16:25   0:00 [scsi_eh_1]
root          54  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-sc
root          58  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-ml
root          59  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-ip
root          67  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-ks
root          82  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-ch
root         139  0.0  0.0      0     0 ?        S    16:25   0:00 [scsi_eh_2]
root         140  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-sc
root         181  0.0  0.0      0     0 ?        S    16:25   0:00 [jbd2/sda2-8]
root         182  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-ex
root         265  0.0  0.0      0     0 ?        S    16:25   0:00 [irq/18-vmwgf
